Total Citation,No Citations,paper file name,author,subject,createdDate
"-1","0","DAC-2004-10(09)-0834.PDF","Pawel Kerntopf","A New Heuristic Algorithm for Reversible Logic Synthesis","2004"
"-1","0","DAC-2004-10(06)-0478.PDF","Changchun Shi, Robert W. Brodersen","Automated Fixed-point Data-type Optimization Tool for Signal Processing and Communication Systems","2004"
"-1","0","DAC-2004-10(06)-0484.PDF","Sanghamitra Roy, Prith Banerjee","An Algorithm for Converting Floating-Point Computations to Fixed-Point in MATLAB based FPGA design","2004"
